method,J_ref,terminal,running_integral,u_min,u_max,u_mean,final_mean_N
direct n800 refined,386.43799104254543,25.090993779012784,361.34699726353267,0.0,3.0,1.364786752069989,1.1948092275720374
Neural-PMP oracle dynamics,386.98601770018286,26.726436403232587,360.2595812969503,0.0,3.0,1.3497890954538354,1.2726874477729802
our Transformer open-loop u_theta(t),386.69506496922077,26.04239881542206,360.6526661537987,1.0432218071118184,2.7575756374095732,1.3712559161571682,1.2401142293058123
original demo singular fixed-point s.csv,422.6702388676551,11.200487958162196,411.4697509094929,1.71140984745465,1.93519850288505,1.871754555218554,0.5333565694362948
original demo input u_vec.csv,439.83610396951474,6.663941679559321,433.1721622899554,1.0010439708282,2.99994066041512,2.0179872878763905,0.31733055616949146
constant u=1.5 anchor,400.40271607345244,40.44200645814192,359.9607096153105,1.5,1.5,1.5,1.9258098313400918
