run_id,seed,start,lr,iter,J,best_J,legacy_pmp_gap,projected_gradient_residual,u_min,u_max,u_mean
0,0,mid,0.02,1,398.94413005544754,399.89348193062773,69.97404575021686,0.8150432771481377,1.4800000004,1.5199999997650708,1.4939303486758777
0,0,mid,0.02,100,383.1634210193202,383.1634210193202,0.9060871591261124,0.15923554448507726,0.0,3.0,1.3690662426453868
0,0,mid,0.02,200,381.5588147246627,381.5588147246627,0.6001182776569038,0.08282558266123408,0.0,3.0,1.356097280200903
0,0,mid,0.02,300,379.88085533258777,379.88085533258777,0.8860187634157749,0.06697420069967563,0.0,3.0,1.3515156877242502
0,0,mid,0.02,400,378.7156947753214,378.7156947753214,1.5428484423390665,0.055890319502212904,0.0,3.0,1.3525441124794186
0,0,mid,0.02,500,377.0583375968079,377.0583375968079,2.502565271055263,0.06322543607160958,0.0,3.0,1.3480590399129428
0,0,mid,0.02,600,376.1391813404365,376.1391813404365,3.8630937619782357,0.05781474178682011,0.0,3.0,1.3489748564412638
0,0,mid,0.02,700,375.2499176109805,375.2499176109805,3.19860696164687,0.008436183779780393,0.0,3.0,1.3384959317652734
0,0,mid,0.02,800,375.18248868394,375.18248868394,2.6371087274943448,0.059382848188053394,0.0,3.0,1.3339431309609298
0,0,mid,0.02,900,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1000,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1100,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1200,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1300,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1400,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1500,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1600,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1700,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1800,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,1900,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2000,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2100,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2200,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2300,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2400,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
0,0,mid,0.02,2500,375.1005416503823,375.1005416503823,2.184550784957986,0.0,0.0,3.0,1.328358208955224
1,0,mid,0.05,1,397.5904367772762,399.89348193062773,58.36154738734244,0.7609886819414977,1.450000001,1.5499999994126772,1.4848258716896945
1,0,mid,0.05,100,381.59014809444227,381.59014809444227,0.6935290975258894,0.05288174199677442,0.0,3.0,1.3549235191654034
1,0,mid,0.05,200,378.8620453926446,378.8620453926446,1.4528773119670282,0.049880681387748815,0.0,3.0,1.3516179447894057
1,0,mid,0.05,300,376.07701301976,376.07701301976,2.4420405285058693,0.062560588869362,0.0,3.0,1.3446000927688053
1,0,mid,0.05,400,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,500,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,600,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,700,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,800,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,900,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,1000,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,1100,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,1200,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
1,0,mid,0.05,1300,375.7140878512672,375.7140878512672,2.9579444037154254,0.0,0.0,3.0,1.3432835820895523
