t,u,u_sing,psi,H,mean_N
0.0,3.0,0.3589218976698513,-0.5126692563981301,34.8549672493865,10.0
0.05,3.0,0.4233158686867988,-0.12929876191940792,34.78909165209749,8.965207996421505
0.1,3.0,0.48541022164008873,0.18255718117075048,34.72785826449672,8.059906905254966
0.15000000000000002,3.0,0.5452626233546571,0.431976410977466,34.670716972546465,7.265454278190809
0.2,3.0,0.602930236214288,0.6267526776167465,34.61720322927649,6.566195922672062
0.25,3.0,0.6584698322101775,0.773605888652046,34.56692322434566,5.9489431186363975
0.30000000000000004,3.0,0.7119378796388806,0.878354812089718,34.51954183845815,5.402548352499668
0.35000000000000003,3.0,0.763390603446953,0.9460593481620911,34.47477281923454,4.917559760708734
0.4,3.0,0.8128840206630561,0.981138048890827,34.43237073611281,4.485938692694624
0.45,3.0,0.8604739527527528,0.9874654392629587,34.392124365620305,4.100828075213032
0.5,3.0,0.9062160170630911,0.9684528063475284,34.35385123130909,3.7563618088586033
0.55,3.0,0.9501655997834205,0.9271154197867482,34.31739307960082,3.447507420580764
0.6000000000000001,0.0,0.9923778130299271,0.8661285881173342,31.68422635304453,3.169935760375793
0.65,0.0,0.985174906450181,0.8327090147244398,31.67122564043966,3.2935233941647546
0.7000000000000001,0.0,0.97772603091178,0.805977226326938,31.6583587995622,3.4216383487430155
0.75,0.0,0.9700380804983885,0.7865653503761649,31.645639244840822,3.5543823580412277
0.8,0.0,0.9621184921955347,0.7751369680903899,31.633080042694523,3.691854058493933
0.8500000000000001,0.0,0.9539751998839935,0.7723875110238971,31.620693866305515,3.8341486048977744
0.9,0.0,0.9456165872863951,0.7790446076399817,31.608492953930632,3.981357287788253
0.9500000000000001,0.0,0.937051440315826,0.7958683802969553,31.596489070963145,4.133567154565441
1.0,0.0,0.9282888992500885,0.8236516934327867,31.584693475896664,4.290860636620856
1.05,0.0,0.9193384111264029,0.863220354091272,31.57311689028552,4.453315184718069
1.1,0.0,0.9102096827195555,0.9154332662681952,31.561769472740963,4.6210029148586464
1.1500000000000001,3.0,0.9009126344326478,0.9811825408672732,34.49420841955369,4.793990266822584
1.2000000000000002,0.0,0.9466577182339304,1.0097585281747072,31.423255788820942,4.378448534866141
1.25,3.0,0.9363593850267098,1.0598949321774995,34.59132402446191,4.549605725245589
1.3,3.0,0.9808580608368687,1.072746873134978,34.551020519476374,4.1603946685689195
1.35,3.0,1.02364015893625,1.058502793697702,34.512701357361564,3.8121651907284795
1.4000000000000001,0.0,1.0647563982021582,1.0203732368764946,31.41508723002921,3.4998531803972215
1.4500000000000002,3.0,1.0522224235450552,1.0093636712848664,34.429628275088355,3.654320934987097
1.5,0.0,1.0923346016058844,0.9596404704545556,31.51499227453257,3.358175886185392
1.55,0.0,1.0790941702768662,0.9380779250719407,31.50099153661551,3.5107906620640486
1.6,0.0,1.065717287621641,0.9261528468259286,31.487253236635173,3.6689776976481
1.6500000000000001,0.0,1.0522193966713511,0.9247173823197841,31.47379070183829,3.832818501688573
1.7000000000000002,0.0,1.038615643914862,0.9346575314799281,31.460616313069387,4.0023879467759915
1.75,0.0,1.0249208417717257,0.9568930531905089,31.447741499374033,4.177753911352119
1.8,3.0,1.0111494356683801,0.9923773339229953,34.412308740091774,4.358976943868637
1.85,3.0,1.0534555430482848,0.9900834750544796,34.37281593309082,3.9909011936891545
1.9000000000000001,0.0,1.0941256657323835,0.9617169010521742,31.45007967820115,3.6611220350122786
1.9500000000000002,0.0,1.0790747712696753,0.9604037218827344,31.436341640674748,3.83114472751496
2.0,0.0,1.063957526581081,0.971048785454915,31.422922068416298,4.007148225406603
2.0500000000000003,3.0,1.0487899375749035,0.9946197956024321,34.39369147923001,4.189193760570366
2.1,3.0,1.0898892463242986,0.98011915743146,34.3550815930939,3.8391695866035525
2.15,0.0,1.1293936357244816,0.9407852421347265,31.495952998266198,3.5252057684400997
2.2,0.0,1.1131068522455607,0.929613575466842,31.48171189034787,3.695631028496875
2.25,0.0,1.096774912394585,0.9301049647818154,31.467805656324188,3.872203564017741
2.3000000000000003,0.0,1.0804151896463385,0.9432407964107945,31.45424605993275,4.054985466162456
2.35,0.0,1.064044308306459,0.9700362389040329,31.441043662674225,4.244030083402842
2.4000000000000004,3.0,1.0476781315427635,1.0115398996336644,34.462827550649344,4.439381739182595
2.45,0.0,1.0891689661317405,1.015557280406295,31.376325627868656,4.0635305151821415
2.5,3.0,1.0722409838386484,1.0445311766138197,34.496691856714165,4.255413669060799
2.5500000000000003,0.0,1.112849672703159,1.0357520457326181,31.35061026986609,3.898914043462284
2.6,3.0,1.0954066933781754,1.0530201256781133,34.49605983772863,4.087425057809427
2.6500000000000004,3.0,1.135181617418724,1.032222078116991,34.45812571394033,3.7484249140095747
2.7,3.0,1.1734107515442125,0.9870844029924655,34.4219820599319,3.4441112647130696
2.75,0.0,1.2101407242150881,0.9205103455838355,31.62596360080601,3.1703054258677383
2.8000000000000003,0.0,1.1914453023516973,0.8846060686457058,31.610503857609988,3.337241609993584
2.85,0.0,1.1727318945375507,0.8591780492294596,31.595401421704654,3.510630896684381
2.9000000000000004,0.0,1.1540213740443117,0.8452175415301291,31.58067050434011,3.690544712047926
2.95,0.0,1.135333537878843,0.8437503698487383,31.566323807929564,3.877044725338374
