label,family,n,mean,std,min,max,note,seed_values
Transformer d32/l1,ablation,3,0.06895033333333334,0.02435151665821978,0.036663,0.095469,direct feedback training,0.095469;0.036663;0.074719
Transformer d64/l2,ablation,3,0.041403333333333334,0.011500697321853527,0.029105,0.05677,direct feedback training,0.038335;0.05677;0.029105
Transformer d96/l2,ablation,3,0.056665,0.02225576663848421,0.040056,0.088123,larger width,0.041816;0.088123;0.040056
Transformer d64/l3,ablation,3,0.086359,0.03577171900631373,0.044358,0.13178,deeper encoder,0.082939;0.13178;0.044358
Refined Transformer feedback,final,3,0.01870266666666667,0.0001482550355150049,0.018572,0.01891,"u_theta(t, N), low-lr refinement",0.01891;0.018626;0.018572
