label,beta,n_grid,all_scale_mean_gap,scale_std_gap,min_gap,max_gap,u_min,u_max,u_mean,final_mean_N_scale1,scale_values
Original demo raw,0.1,1001,56097096.0,1255179.6910912795,53970728.0,57656908.0,-1.9119343757629395,-0.7057852745056152,-0.9026603102684021,246.1260528564453,5.39707e+07;5.51066e+07;5.58049e+07;5.63209e+07;5.67353e+07;5.70843e+07;5.76569e+07
Original demo raw,0.3,1001,132137741.71428572,6348600.541923491,121633312.0,140284576.0,-1.9119343757629395,-0.7057852745056152,-0.9026603102684021,246.1260528564453,1.21633e+08;1.2701e+08;1.30475e+08;1.33117e+08;1.35289e+08;1.37154e+08;1.40285e+08
Original demo sigmoid,0.1,1001,10499.024693080357,602.5830370541438,9564.1767578125,11346.451171875,0.3862910866737366,0.9915924072265625,0.8698436617851257,7.5505242347717285,9564.18;9998.85;10299.1;10547;10767.2;10970.4;11346.5
Original demo sigmoid,0.3,1001,39664.6484375,5923.9639442418975,30792.03125,48233.76953125,0.3862910866737366,0.9915924072265625,0.8698436617851257,7.5505242347717285,30792;34618.8;37499.3;39973.5;42218.6;44316.5;48233.8
