case_id,state_id,region,subset,quantity,count,rms,mean_abs,max_abs
time_only,nominal,full_horizon,all_points,H_u,1601,1282.914866348945,393.84383680149347,7698.014508093621
time_only,nominal,full_horizon,all_points,dH_u_dt,1601,2402.349192273798,844.2719489810421,11937.630232653002
time_only,nominal,full_horizon,all_points,d2H_u_dt2,1601,3510.419894370238,1536.398293519463,12200.50614040647
time_only,nominal,full_horizon,training_grid_coordinates,H_u,801,1289.827629539496,396.21935432059234,7698.014508093621
time_only,nominal,full_horizon,training_grid_coordinates,dH_u_dt,801,2411.5887571166986,848.5005779184977,11937.630232653002
time_only,nominal,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3521.9194429405993,1542.8799438169015,12200.50614040647
time_only,nominal,full_horizon,off_grid_coordinates,H_u,800,1275.9559411379598,391.4653498854957,7623.642334675375
time_only,nominal,full_horizon,off_grid_coordinates,dH_u_dt,800,2393.062337554265,840.0380342574146,11861.509340734432
time_only,nominal,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3498.868105703324,1529.9085411591527,12158.18976991848
time_only,nominal,interior,all_points,H_u,1152,20.98244967144897,20.281356985510058,36.226035522619895
time_only,nominal,interior,all_points,dH_u_dt,1152,5.802293581415706,4.767597887519603,13.932732538944492
time_only,nominal,interior,all_points,d2H_u_dt2,1152,5.696583475246654,4.097212283772464,23.497638178017496
time_only,nominal,interior,training_grid_coordinates,H_u,576,20.97674881522016,20.277613572104045,36.153645346284975
time_only,nominal,interior,training_grid_coordinates,dH_u_dt,576,5.8004631396043225,4.766582976043337,13.928369237103198
time_only,nominal,interior,training_grid_coordinates,d2H_u_dt2,576,5.683713146367353,4.09251443169525,23.49425494372099
time_only,nominal,interior,off_grid_coordinates,H_u,576,20.988148979196264,20.285100398916068,36.226035522619895
time_only,nominal,interior,off_grid_coordinates,dH_u_dt,576,5.804123445962135,4.768612798995868,13.932732538944492
time_only,nominal,interior,off_grid_coordinates,d2H_u_dt2,576,5.709424791580797,4.101910135849678,23.497638178017496
time_only,resistant_heavy,full_horizon,all_points,H_u,1601,1292.341658818771,436.1454904726074,7700.524150829338
time_only,resistant_heavy,full_horizon,all_points,dH_u_dt,1601,2382.6195002398795,843.4006587845377,11838.478159892893
time_only,resistant_heavy,full_horizon,all_points,d2H_u_dt2,1601,3477.594821432757,1524.078033154605,12106.579552398356
time_only,resistant_heavy,full_horizon,training_grid_coordinates,H_u,801,1299.1880246136598,438.4653050602479,7700.524150829338
time_only,resistant_heavy,full_horizon,training_grid_coordinates,dH_u_dt,801,2391.786573514891,847.5957052125204,11838.478159892893
time_only,resistant_heavy,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3488.9608918571253,1530.4836876391696,12106.579552398356
time_only,resistant_heavy,full_horizon,off_grid_coordinates,H_u,800,1285.4502031339591,433.82277611673237,7626.769844912999
time_only,resistant_heavy,full_horizon,off_grid_coordinates,dH_u_dt,800,2373.4054949455344,839.2003685485199,11762.94356477957
time_only,resistant_heavy,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3466.177202805682,1517.6643716019346,12064.501362616957
time_only,resistant_heavy,interior,all_points,H_u,1152,73.0810658504146,69.74703188601785,96.76140289646355
time_only,resistant_heavy,interior,all_points,dH_u_dt,1152,11.285580418592563,10.6416299727303,22.67688589916861
time_only,resistant_heavy,interior,all_points,d2H_u_dt2,1152,10.569413166206795,6.891373787555614,30.71713798193082
time_only,resistant_heavy,interior,training_grid_coordinates,H_u,576,73.10065153860819,69.77152285842527,96.76140289646355
time_only,resistant_heavy,interior,training_grid_coordinates,dH_u_dt,576,11.293949580716248,10.647543245562161,22.67688589916861
time_only,resistant_heavy,interior,training_grid_coordinates,d2H_u_dt2,576,10.576652871503715,6.893953195392836,30.708949796347042
time_only,resistant_heavy,interior,off_grid_coordinates,H_u,576,73.06147491185932,69.72254091361043,96.7612062734961
time_only,resistant_heavy,interior,off_grid_coordinates,dH_u_dt,576,11.27720504545692,10.635716699898436,22.53091794042939
time_only,resistant_heavy,interior,off_grid_coordinates,d2H_u_dt2,576,10.562168498546278,6.888794379718391,30.71713798193082
feedback_cf,nominal,full_horizon,all_points,H_u,1601,1283.1316440988633,388.85399490766497,7698.108973143662
feedback_cf,nominal,full_horizon,all_points,dH_u_dt,1601,2401.5756320438895,844.2608414858208,11933.898528982136
feedback_cf,nominal,full_horizon,all_points,d2H_u_dt2,1601,3509.612127883074,1536.052904427107,12197.981426778973
feedback_cf,nominal,full_horizon,training_grid_coordinates,H_u,801,1290.0421631186343,391.2305930227128,7698.108973143662
feedback_cf,nominal,full_horizon,training_grid_coordinates,dH_u_dt,801,2410.8139068425676,848.4881315392249,11933.898528982136
feedback_cf,nominal,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3521.1100904257264,1542.5630822566206,12197.981426778973
feedback_cf,nominal,full_horizon,off_grid_coordinates,H_u,800,1276.1749966574837,386.4744260449732,7623.760073580036
feedback_cf,nominal,full_horizon,off_grid_coordinates,dH_u_dt,800,2392.2900674264483,840.0282673198496,11857.793408131321
feedback_cf,nominal,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3498.0619289463943,1529.5345888753066,12155.667740425557
feedback_cf,nominal,interior,all_points,H_u,1152,15.5764615036194,14.192882823412411,33.06387701753647
feedback_cf,nominal,interior,all_points,dH_u_dt,1152,6.013575567237523,4.917205132981068,14.135544504910285
feedback_cf,nominal,interior,all_points,d2H_u_dt2,1152,5.845788053026014,4.170716543522827,24.106948321667915
feedback_cf,nominal,interior,training_grid_coordinates,H_u,576,15.565966301030986,14.186549874284713,32.99053978022039
feedback_cf,nominal,interior,training_grid_coordinates,dH_u_dt,576,6.0124283751449585,4.91663246147289,14.132379777405276
feedback_cf,nominal,interior,training_grid_coordinates,d2H_u_dt2,576,5.861649631438739,4.20665219415489,23.79079381742622
feedback_cf,nominal,interior,off_grid_coordinates,H_u,576,15.586949639446521,14.199215772540109,33.06387701753647
feedback_cf,nominal,interior,off_grid_coordinates,dH_u_dt,576,6.014722540525369,4.917777804489246,14.135544504910285
feedback_cf,nominal,interior,off_grid_coordinates,d2H_u_dt2,576,5.829883319592035,4.134780892890764,24.106948321667915
feedback_cf,resistant_heavy,full_horizon,all_points,H_u,1601,1284.4992609437425,387.480453910609,7698.734326824241
feedback_cf,resistant_heavy,full_horizon,all_points,dH_u_dt,1601,2398.2559207857353,843.8927792103818,11909.18146412711
feedback_cf,resistant_heavy,full_horizon,all_points,d2H_u_dt2,1601,3491.905247756744,1528.624876752647,12151.827881326171
feedback_cf,resistant_heavy,full_horizon,training_grid_coordinates,H_u,801,1291.3979070490784,389.8478114018313,7698.734326824241
feedback_cf,resistant_heavy,full_horizon,training_grid_coordinates,dH_u_dt,801,2407.454494302138,848.1009802838339,11909.18146412711
feedback_cf,resistant_heavy,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3503.272877327084,1535.042362705394,12151.827881326171
feedback_cf,resistant_heavy,full_horizon,off_grid_coordinates,H_u,800,1277.5546703157534,385.11013722252284,7624.53900877846
feedback_cf,resistant_heavy,full_horizon,off_grid_coordinates,dH_u_dt,800,2389.010364969441,839.6793178855881,11833.364179424054
feedback_cf,resistant_heavy,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3480.486211345257,1522.1993689424585,12109.713732732991
feedback_cf,resistant_heavy,interior,all_points,H_u,1152,16.865862647965482,14.062467679499626,31.704416078362556
feedback_cf,resistant_heavy,interior,all_points,dH_u_dt,1152,5.949567324660171,5.708705436385685,8.76288040978443
feedback_cf,resistant_heavy,interior,all_points,d2H_u_dt2,1152,6.976784213740495,4.433669502852492,28.504717335059013
feedback_cf,resistant_heavy,interior,training_grid_coordinates,H_u,576,16.853386804357715,14.051330320382817,31.677413076271478
feedback_cf,resistant_heavy,interior,training_grid_coordinates,dH_u_dt,576,5.950374219891698,5.709530632116681,8.760688031635254
feedback_cf,resistant_heavy,interior,training_grid_coordinates,d2H_u_dt2,576,6.995149793156855,4.426680872308361,28.16641346710685
feedback_cf,resistant_heavy,interior,off_grid_coordinates,H_u,576,16.878329269888525,14.073605038616439,31.704416078362556
feedback_cf,resistant_heavy,interior,off_grid_coordinates,dH_u_dt,576,5.948760319980646,5.7078802406546885,8.76288040978443
feedback_cf,resistant_heavy,interior,off_grid_coordinates,d2H_u_dt2,576,6.958370161287393,4.440658133396626,28.504717335059013
feedback_der,nominal,full_horizon,all_points,H_u,1601,1283.1183981293432,391.776434129408,7698.083570463297
feedback_der,nominal,full_horizon,all_points,dH_u_dt,1601,2401.738519127967,844.1955209850294,11934.902078348374
feedback_der,nominal,full_horizon,all_points,d2H_u_dt2,1601,3509.868610103568,1536.1401971241783,12198.78675806524
feedback_der,nominal,full_horizon,training_grid_coordinates,H_u,801,1290.0297569311158,394.15229742988225,7698.083570463297
feedback_der,nominal,full_horizon,training_grid_coordinates,dH_u_dt,801,2410.976836071417,848.4233620665993,11934.902078348374
feedback_der,nominal,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3521.3683441716485,1542.6541668963166,12198.78675806524
feedback_der,nominal,full_horizon,off_grid_coordinates,H_u,800,1276.1609003298063,389.3976009998081,7623.728414435711
feedback_der,nominal,full_horizon,off_grid_coordinates,dH_u_dt,800,2392.4529144198004,839.9623951021075,11858.791928759392
feedback_der,nominal,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3498.3166285161483,1529.618084889825,12156.471605592089
feedback_der,nominal,interior,all_points,H_u,1152,18.357639787655653,17.502646398798177,33.820620804802275
feedback_der,nominal,interior,all_points,dH_u_dt,1152,5.9557533194666785,4.9085290562865715,14.103619933424852
feedback_der,nominal,interior,all_points,d2H_u_dt2,1152,5.719258245801062,4.107689601287215,23.928607290372383
feedback_der,nominal,interior,training_grid_coordinates,H_u,576,18.35156155664091,17.498864601133125,33.747169280027265
feedback_der,nominal,interior,training_grid_coordinates,dH_u_dt,576,5.954018892569731,4.907556478740351,14.097920520456682
feedback_der,nominal,interior,training_grid_coordinates,d2H_u_dt2,576,5.731789992039932,4.146171820289715,23.485638843366814
feedback_der,nominal,interior,off_grid_coordinates,H_u,576,18.36371600682866,17.506428196463233,33.820620804802275
feedback_der,nominal,interior,off_grid_coordinates,dH_u_dt,576,5.957487241413063,4.909501633832792,14.103619933424852
feedback_der,nominal,interior,off_grid_coordinates,d2H_u_dt2,576,5.706698980275529,4.069207382284715,23.928607290372383
feedback_der,resistant_heavy,full_horizon,all_points,H_u,1601,1283.0995329864716,393.8079659963741,7698.349938846272
feedback_der,resistant_heavy,full_horizon,all_points,dH_u_dt,1601,2402.0366400000053,849.0260526222148,11924.365367639477
feedback_der,resistant_heavy,full_horizon,all_points,d2H_u_dt2,1601,3494.7458679116494,1531.48127115576,12160.22626450634
feedback_der,resistant_heavy,full_horizon,training_grid_coordinates,H_u,801,1290.003736247708,396.1679334070671,7698.349938846272
feedback_der,resistant_heavy,full_horizon,training_grid_coordinates,dH_u_dt,801,2411.2443216921597,853.2356192552644,11924.365367639477
feedback_der,resistant_heavy,full_horizon,training_grid_coordinates,d2H_u_dt2,801,3506.1067798938616,1537.8871328327334,12160.22626450634
feedback_der,resistant_heavy,full_horizon,off_grid_coordinates,H_u,800,1276.149276939096,391.44504862641764,7624.059885433798
feedback_der,resistant_heavy,full_horizon,off_grid_coordinates,dH_u_dt,800,2392.7819503589553,844.8112240308739,11848.49559334662
feedback_der,resistant_heavy,full_horizon,off_grid_coordinates,d2H_u_dt2,800,3483.3336318051674,1525.0674021516907,12118.112026398763
feedback_der,resistant_heavy,interior,all_points,H_u,1152,26.648351013288973,23.476310901763767,45.87023968333233
feedback_der,resistant_heavy,interior,all_points,dH_u_dt,1152,11.115257747578463,10.383880295573395,15.62850399374338
