condition,family,value,beta,gamma,alpha,n0,method,run_id,J_ref,J_gap_to_direct,relative_gap_to_direct,pmp_kkt_gap,kkt_mean,u_min,u_max,u_mean,terminal_total_N,terminal_mean_N
gamma_40,gamma,40,0.1,40.0,1.0,10.0,direct reference,direct_n400,614.914951085634,0.0,0.0,17.448827977680242,0.02528841051199917,0.0,3.0,0.929854710201531,51.38644754152442,2.4469736924535437
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Transformer,seed_0,615.0186497390306,0.10369865339657736,0.0001686390178243299,2.9952629334929957,0.0098661922556887,0.5890522889976559,2.704020761586979,0.9423333318417184,53.68230792174165,2.556300377225793
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Transformer,seed_1,615.0550478912211,0.1400968055870635,0.00022783119086586197,2.679117034577432,0.009554664047976528,0.6252374629470328,2.685055404569994,0.9430954552328371,53.43066670131712,2.544317461967482
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Transformer,seed_2,615.0553509107489,0.14039982511485505,0.00022832397369258715,2.8393361673429496,0.010371667304029523,0.6095593114555734,2.68217453673155,0.9417155282571177,53.34804430460151,2.5403830621238814
gamma_40,gamma,40,0.1,40.0,1.0,10.0,Neural-PMP [3],best,615.173910621256,0.25895953562201157,0.00042113065419017276,18.697470214772785,0.02746487260662405,0.0,3.0,0.929854710201531,51.04196434091677,2.430569730519846
gamma_40,gamma,40,0.1,40.0,1.0,10.0,constant u=1.5,constant,700.4027160734524,85.48776498781842,0.139023721633194,986.7766102444185,0.2514199065458412,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,direct reference,direct_n400,370.51293772708243,0.0,0.0,3.335432719354778,0.022809382173599554,0.0,3.0,1.2748008123730667,46.42656660461286,2.2107888859339457
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Transformer,seed_0,370.47231699148597,-0.04062073559646251,-0.00010963378457349142,0.14920444779856298,0.005169825418132446,1.0439922320196922,2.3672995891069903,1.287168323074066,47.2700461323312,2.2509545777300572
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Transformer,seed_1,370.5090828765489,-0.003854850533514309,-1.0404091574134876e-05,0.22506894183308876,0.007040414739792893,1.0168252970883005,2.3100804926615224,1.2855238405866556,47.408425731466345,2.2575440824507784
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Transformer,seed_2,370.46565156972395,-0.04728615735848507,-0.00012762349851684702,0.17442474018099968,0.005747537892122673,1.045437634025527,2.3783835569147667,1.2866088077510138,47.42759970901065,2.258457129000507
