candidate,objective,control_min,control_max,control_total_variation,control_rms_change,amplitude,cycles,compensation,core_box_clipping_fraction,psi_rms,psi_max_abs,dot_psi_rms,dot_psi_max_abs,ddot_psi_rms,ddot_psi_max_abs,objective_difference,objective_relative_difference,psi_rms_ratio_to_locked,dot_psi_rms_ratio_to_locked,ddot_psi_rms_ratio_to_locked
locked baseline,124866.90357252742,2.2213531327669484e-06,3.0,4.740203252463694,0.0,0.0,6.0,0.0,0.0,0.0012787746982365856,0.0024303356681798505,0.0003888334676550016,0.0007744268316400849,0.0026794073149914014,0.04975900486741125,0.0,0.0,1.0,1.0,1.0
amplitude +0.0025,124866.9036916838,2.2213531327669484e-06,3.0,4.740332506988775,0.0006855307036242065,0.0025,6.0,0.0,0.0,0.04472712533944432,0.1284127233560639,0.28822587304480424,0.8517869760140684,1.9272365358309835,5.509896023831118,0.00011915637878701091,9.542671066380723e-10,34.9765485672515,741.2578829262121,719.2771793403753
amplitude -0.0025,124866.90369167618,2.2213531327669484e-06,3.0,4.740203252463694,0.0006855307036242065,-0.0025,6.0,0.0,0.0,0.044718218260443046,0.12744605366918904,0.2882169583239728,0.8516662021296639,1.9271874682650194,5.5067103136892115,0.00011914876813534647,9.542061565268202e-10,34.969583244107746,741.2349560910166,719.2588664971992
amplitude +0.0050,124866.9040491448,2.2213531327669484e-06,3.0,4.7490508248881875,0.001371061407248413,0.005,6.0,0.0,0.0,0.08942132764103317,0.25584306732042705,0.5764471578415368,1.704051630251513,3.8544476494857185,11.018436949485988,0.000476617380627431,3.8170032810222894e-09,69.92735136560339,1482.5039658185965,1438.544870695812
amplitude -0.0050,124866.90404912882,2.2213531327669484e-06,3.0,4.749733445957303,0.001371061407248413,-0.005,6.0,0.0,0.0,0.08941489123012249,0.2543302548247084,0.5764377907495128,1.7028561669739872,3.8543954927872806,11.014774919488701,0.00047660140262451023,3.816875320750483e-09,69.92231810140169,1482.4798755773925,1438.5254049362964
