sample,optimizer_seconds,elapsed_seconds,projected_gradient_linf,optimizer_nit,optimizer_nfev
0,10.514378332998604,15.013597999000922,1.413965546537277e-06,130,140
1,10.34724649018608,14.798225968843326,1.2719786700587932e-06,130,135
2,10.186740957200527,14.60386740299873,3.2228895374686317e-06,130,136
3,10.573734366800636,15.148713650880381,1.6259782735783546e-06,130,134
4,10.334457520162687,14.815234683919698,1.064425748653619e-06,130,136
5,10.407771064899862,14.920688093174249,6.444671551975034e-07,130,134
6,10.331201442051679,14.86190207512118,6.301801755981273e-07,130,135
7,10.215471393894404,14.790189068997279,1.3044076854207276e-06,130,135
8,10.334741194965318,14.72941702301614,9.786496244501564e-07,130,137
9,10.533380975015461,15.055176937021315,9.5566533575564e-07,130,139
10,10.54198296321556,14.991303574992344,3.234866128631886e-06,130,138
11,10.333996878936887,14.872862457064912,6.512925992741003e-06,130,136
12,10.194606150966138,14.812970922095701,5.736327554073384e-07,130,134
13,10.26562164304778,14.699682322097942,9.48883057128036e-07,130,136
14,10.404730057809502,14.925074324011803,1.6390330288551525e-06,130,134
15,10.454402622999623,14.946687299059704,5.905525928273647e-07,130,139
16,10.176690174965188,14.587218594970182,9.800654587888147e-07,130,135
17,10.263228225987405,14.739122853148729,3.5948282317566083e-06,130,136
18,10.594688738230616,15.013323415070772,2.2878316650043473e-06,130,143
19,11.065999665064737,15.588674668921158,6.672488814807309e-07,130,147
20,10.200716304127127,14.660051541868597,7.568575818295287e-07,130,136
21,10.355624672258273,14.839314758079126,1.7155096194709785e-06,130,136
22,10.532079621916637,15.043567285872996,8.188750622029062e-07,130,140
23,10.156100798863918,14.688903891015798,3.547787565949534e-07,130,135
24,10.096673829015344,14.52344311401248,1.6537056350962587e-06,130,134
25,10.364899936830625,14.873557924060151,1.064975637787846e-06,130,137
26,10.33578471490182,14.809680767124519,1.849825320476839e-06,130,138
27,10.226239847252145,14.690621173940599,5.961848754676424e-07,130,135
28,10.443449078127742,14.961055080173537,1.6704200467287933e-06,130,138
29,10.499269803985953,14.888949466170743,1.1654796796545241e-06,130,138
30,10.285625552758574,14.79755647201091,5.002550297339425e-07,130,137
31,10.33857732010074,14.847933782963082,4.419867518645759e-07,130,138
32,10.299597336212173,14.869507435010746,1.6602019291545034e-06,130,137
33,10.586452494841069,15.170024372870103,6.598959922943237e-07,130,137
34,10.071727944305167,14.644986589904875,1.3425372380471146e-06,130,134
35,10.463453234173357,15.061974766897038,6.934768104205347e-07,130,135
36,10.294142554979771,14.910846543963999,4.6031518174949326e-07,130,134
37,10.461072000209242,15.174011236056685,9.805574940902062e-07,130,137
38,14.51935854088515,19.127612011041492,1.9400371564781693e-06,130,205
39,10.155475022038445,14.792756133014336,2.436411768780289e-06,130,134
40,10.516153929987922,15.027263118885458,7.217976150108996e-07,130,141
41,10.215280224801973,14.890156081179157,4.296059877173519e-06,130,135
42,10.263712089974433,14.84781636390835,2.5432555279536473e-06,130,136
43,10.203545425087214,14.871767712989822,1.1131405537323502e-06,130,134
44,10.133064453257248,14.752471191808581,1.0369754933625686e-06,130,134
45,10.139798243064433,14.754361954983324,1.0424426761801442e-06,130,134
46,10.220132195856422,14.858336455887184,1.3916586314444146e-06,130,137
47,10.58017543097958,15.291340146912262,6.907325418303856e-07,130,138
48,10.182612392120063,14.608685033861548,9.456619115555398e-07,130,135
