method,operation,sample_count,median_seconds,q25_seconds,q75_seconds,mean_seconds,sample_sd_seconds
Direct,warm-started state-specific optimization,128,10.333093551103957,10.202838144847192,10.463909190730192,10.401944546152663,0.5131068400473531
PMP-CF,loaded policy and closed-loop rollout,128,1.0436349095543846,1.0427853235742077,1.044949008966796,1.0438511018674035,0.0014570176667595643
PMP-DER,loaded policy and closed-loop rollout,128,1.0453976559219882,1.044601412024349,1.0464728365768678,1.0455139021014475,0.0015734256395005797
