t,u,u_sing,psi,q,mean_N,total_N,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
0.5,1.2825377517457546,0.8216737231282792,-0.0019489164927151137,0.9170218649004885,4.612511174257533,96.8627346594082,4.549640279112352,4.564904032229367,4.609389653587567,4.679094587576653,4.767125242768718,4.863587642269959,4.955880971984156,5.029765687292699,5.071434976564397,5.070377774680643,5.0221883763538075,4.930079848034722,4.804195069139052,4.6588714106804145,4.509068786508945,4.367410753578136,4.242659974513737,4.1395907574372135,4.059721870888413,4.002335401297527,3.9654115629097113
0.55,1.1708038067376019,0.8388185693193082,0.025163991547806575,0.7758772483936895,4.528269900162173,95.09366790340563,4.51664699897195,4.532521510402745,4.578751432305098,4.651055659443273,4.742035233637063,4.841030444432443,4.934425402592557,5.006822292777455,5.043344301120729,5.032820366603829,4.970882001962123,4.861563258464042,4.716410553907806,4.551340940399515,4.3826627260666795,4.223882092836183,4.084156218576152,3.968281899927246,3.877583023014701,3.811057644319055,3.766393901645
0.6,1.1179026719402456,0.8534657382293941,0.048968356095731025,0.5128926902738076,4.468512162192029,93.8387554060326,4.51083378940287,4.52734105349133,4.575374840159198,4.650355502008828,4.744343541167633,4.845862646658069,4.94021930016142,5.010795571654988,5.041605367370086,5.020825970804086,4.944195828444046,4.816689235890976,4.6513876558449505,4.465887988306967,4.277889936107327,4.101769706550634,3.9470310099140304,3.8184332544199266,3.717050301759593,3.64155342546266,3.589309480452986
0.65,1.0898731644373798,0.8666965774047025,0.07009276701219136,0.2680304442449992,4.421391673379024,92.8492251409595,4.518185103832013,4.535341844409548,4.585226208152436,4.662948773909917,4.760008451352145,4.864079939351613,4.959350519607755,5.027940906665299,5.052732855008773,5.021268326647098,4.929458441164007,4.783319660918069,4.597571476778265,4.391556923855513,4.184378338156963,3.9912456973914563,3.821948137115203,3.681144186732804,3.569605559473266,3.485640550047469,3.426273240389903
0.7000000000000001,1.073332799588679,0.8789754925427427,0.0889323703070346,0.12492254301503741,4.381916351491971,92.02024338133138,4.53285803672867,4.550678318298068,4.602453261700255,4.682976187025145,4.783169371955141,4.889833959520376,4.986005305648589,5.05251024350487,5.071082617457989,5.028649204755307,4.921358286131394,4.756362940423279,4.550110416480379,4.3237398055979215,4.097751903958277,3.8881432407614023,3.704922145222097,3.5525827532294123,3.431545745408621,3.339724890212149,3.2737847473120225
0.75,1.0627920434776268,0.8905246590748883,0.10576870164709007,0.05795233109102897,4.347736466873199,91.30246580433719,4.552155534243379,4.570652175267272,4.62435453786311,4.707732886237416,4.811120500453043,4.920423818449904,5.017497343355914,5.081845249019601,5.09404092349044,5.040418120039258,4.917426620794223,4.733447166035846,4.506737539357267,4.260273664014123,4.015941943125771,3.790472471632023,3.594024634976582,3.4308659896897638,3.3010204758102026,3.2019794943292164,3.130034716152824
0.8,1.0557577289197984,0.9014664915560006,0.1208183143986652,0.02817020779412041,4.317582413432751,90.66923068208777,4.574659403274813,4.593844606167046,4.649509671481463,4.7357968575344875,4.842439389731226,4.9544294632847725,5.052413530472378,5.1145460368574005,5.1202289799171234,5.05522654785239,4.916354671209981,4.713311054054571,4.466242415385454,4.199996116912523,3.9378254427120263,3.697137489549083,3.48817400414089,3.314915636537482,3.1769469547788307,3.0713123732410215,2.993920036992824
0.8500000000000001,1.050962053738644,0.9118776993563902,0.13425643785600272,0.014588555785257414,4.290678395217087,90.10424629955884,4.5995301996624605,4.619415828910494,4.67707803581738,4.766326604521143,4.8762843642493285,4.991010557753911,5.08991721903346,5.14978282170625,5.148827959961469,5.0722717043386325,4.91736128497873,4.695199641511274,4.427897565918171,4.14220361246324,3.8627146323670374,3.607455614056637,3.3866820525328474,3.2040294526688475,3.0586033609321794,2.946979517908819,2.8646742682665307
0.8999999999999999,1.047693564401508,0.921811463561136,0.14622998420389166,0.008069998781678198,4.266502925304186,89.59656143138791,4.6262223558890145,4.646820065373381,4.706513332077179,4.798775307408243,4.912108519877744,5.029621010692013,5.129464438748752,5.1870154758094,5.17930390264348,5.091028967200608,4.919934944338868,4.678617572000224,4.39122410443242,4.086429832459606,3.790147941142628,3.520960219055768,3.289067733045532,3.0977048038693984,2.945461200536968,2.828425028866964,2.741714675919719
0.95,1.0455210259045677,0.9313075570422368,0.15686532333950254,0.004757490240947474,4.24467963404732,89.13827231499371,4.654355143873519,4.675676436494597,4.737434310154494,4.832761348181552,4.949530171309517,5.069879647707117,5.170675306565394,5.225866398801116,5.211282928987896,5.111130397609933,4.923716503363097,4.663216783015697,4.355884843735133,4.032344391969955,3.719794191172337,3.4373101163092903,3.194971294624221,2.995557082768741,2.8371075264869843,2.715206696622305,2.624570795240834
1.0,1.0441671184156225,0.9403974719166142,0.16627322419635604,0.0029775834356626685,4.224921900516709,88.7233599108509,4.68364776879314,4.705704023160594,4.769559744626974,4.868003191205493,4.988267694253697,5.111505161420837,5.21326933421941,5.266056533052223,5.244488394490351,5.13230349321582,4.9284399786505535,4.648739684706395,4.321630083828057,3.9797013139589157,3.6514037062328706,3.356243145316271,3.104110138841432,2.897277591872125,2.7332046108554504,2.606957248915264,2.5128470692350326
1.05,1.043444693188888,0.9491072537423794,0.17455215249668754,0.001970279539790172,4.207002187233399,88.34704593190138,4.713883749289585,4.736686229061485,4.802672752889006,4.9042836510897505,5.028103773095669,5.154280416255665,5.257029921815823,5.307370231029305,5.278706356242577,5.1543374976139456,4.933899927803106,4.634987786401359,4.288267596709317,3.9283104077171385,3.584781051289538,3.2775501888024197,3.016253992686402,2.8026097411001607,2.6334670372835225,2.503362221902476,2.4062014018231257
1.1,1.0432218071118184,0.9574591732266291,0.18179056805407967,0.0013728009368474499,4.190733891066564,88.00541171239784,4.744890064371718,4.768449918029994,4.8365999078650095,4.941428977844215,5.068864475392159,5.198031555565929,5.301783571245593,5.349634678280145,5.31376533107288,5.177063627220781,4.939932267951922,4.621803201641548,4.2556448740846005,3.8780202745525356,3.5197687744937616,3.2010595998060407,2.931209949895701,2.7113346241784693,2.5376477353391964,2.4041463849290325,2.3043319186366213
1.1500000000000001,1.0434013216152545,0.9654727575867181,0.18806859257069775,0.0010033273427910033,4.175960082741891,87.6951617375797,4.776524399900261,4.800852655386025,4.871198466205586,4.979296070709657,5.110406461258077,5.2426152313740415,5.347387178165495,5.392707306103113,5.34952389939374,5.200342940218089,4.946402476289425,4.609057229936706,4.223638118285439,3.8287077137842145,3.456237214010266,3.126627377863614,2.8488129725509084,2.623261796006018,2.44552898547359,2.3090649317847474,2.2069683128806923
