epoch,total_loss,opt_gap,singular_component,nonsingular_component,raw_singular_mse,raw_nonsingular_loss,smooth,objective,u_min,u_max,u_mean,final_mean_N,psi_mean_abs,q_mean,lr
1,76.26270126029296,76.2627012602856,3.911048770036419e-05,76.26266214979789,0.11069398019393842,76.26268329031616,7.366513519734343e-08,399.6840616642465,1.4886389883192603,1.50866116186805,1.4998618337104288,1.9125203217188147,4.73709974275448,0.0035317151817665588,0.001
2,59.88060652940824,59.88060652934586,0.003915958286227267,59.87669057105963,0.11049616681261204,59.876718883938615,6.237781366179235e-07,398.99642832902947,1.4853180640489954,1.5526908611717896,1.516869177799386,1.7567312912687776,4.488149300859179,0.006737532351525166,0.001
3,51.79419862528158,51.794198625079304,0.004602163623405569,51.78959646145589,0.10994140186079923,51.789609693098114,2.0227829109208247e-06,398.48180645859486,1.4650610711387921,1.594167686790636,1.5310767216178307,1.6203215087269023,4.342364295104198,0.008051642322852187,0.001
4,46.299725999324615,46.299725998856765,0.0001566705613286997,46.299569328295426,0.10686616262300144,46.29958713442151,4.678464147470896e-06,397.66769093504917,1.4316738244238825,1.6309346265256814,1.5327802681065072,1.5281875855143288,4.189650883205626,0.0036773031581531605,0.001
5,39.81720443418694,39.81720443331467,0.00010185990200295836,39.81710257341267,0.1020857907398335,39.81712297313209,8.72270132925637e-06,396.5469163943087,1.3897080068058534,1.6601438382446876,1.521892978708016,1.4834831109470583,3.9592260264943278,0.0032303636189033574,0.001
6,32.06206356133232,32.06206355990501,0.0007357266185583993,32.061327833286455,0.09686665658707508,32.06136402267419,1.4273124028167682e-05,395.25524337192763,1.344854971380509,1.6841099941305426,1.5017906734246385,1.4725124921754789,3.631239330909452,0.0036571293251778728,0.001
7,24.24663424267121,24.246634240483573,0.0020182557943419265,24.244615984689233,0.09205248905476564,24.244658552813473,2.1876356755782087e-05,393.94458513860457,1.2993178656915843,1.7065233358256715,1.4753964055050133,1.4813124644931386,3.2141851217095594,0.005476793065128115,0.001
8,17.636880330758952,17.636880327491355,0.0014049981909974255,17.635475329300355,0.08847189513364186,17.63550921638876,3.267596376809396e-05,392.75486301568435,1.25367372530599,1.732294891431305,1.446092597331631,1.4916988130202515,2.732855924118626,0.006831364878442788,0.001
9,12.641806609766494,12.641806604929979,0.001264604363938707,12.64054200056604,0.08752882767945715,12.640564244837885,4.836515516813267e-05,391.78367183655837,1.208959181905616,1.7667489968016192,1.4193922486751174,1.4763635012873324,2.2362252897011823,0.009798604400819486,0.001
10,9.309962075937195,9.309962068824662,0.0009588659475794755,9.309003202877081,0.09076778996990463,9.309053511912463,7.112533388481995e-05,391.0633573086265,1.1665285154686975,1.810315767577167,1.3997422201418566,1.4213118808332121,1.807222186896996,0.013736746965927414,0.001
