label,n_grid,pmp_kkt_gap,singular_component,nonsingular_component,J,u_min,u_max,u_mean,final_mean_N,psi_abs_mean,q_mean
constant u=1.5 anchor,1000,76.88704100122332,0.001681816824082017,76.88535918439925,400.3009516600441,1.5,1.5,1.5,1.9256858862466724,4.7171361395359455,0.005190336022849599
original demo input u_vec.csv,1000,807.1752105829416,2.0443971192583728e-123,807.1752105829416,439.3717435530255,1.0010439708282,2.99994066041512,2.0167525579866594,0.3177787572425717,13.43962578936442,4.8950368764944446e-124
original demo singular fixed-point output s.csv,1000,434.31213027155707,6.284694287054753e-76,434.31213027155707,422.55812112063586,1.71140984745465,1.93519850288505,1.8718220725638024,0.5327230796319787,10.943726214057289,3.436040974802837e-76
our Transformer open-loop u_theta(t),1000,0.05229711897389425,9.565122259142993e-05,0.05220146775130282,386.31290717968375,1.0432218071118184,2.7575756374095732,1.3724572161402235,1.2067475382309432,0.2587329957914247,0.42524462363494897
our best saved Transformer open-loop,1000,0.26486564612937463,4.2070096446152957e-07,0.2648652254284102,386.3222628705972,0.9721496706859517,2.77650451579395,1.3661172590414148,1.2260078368501492,0.4648199515249702,0.0008443631832977562
direct cost-optimized open-loop n800,1000,0.8047034253350609,0.7079070029593542,0.09679642237570674,384.2469157232239,0.0,3.0,1.3654345654345652,1.1625278373247951,0.16970679245739365,0.33451414904547316
